Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2023-06-16,0.984,0.000,0.069,0.064,0.068,0.000,0.000
2023-06-17,0.023,0.172,0.158,0.054,0.000,0.610,0.105
2023-06-18,0.000,0.077,0.042,0.000,0.000,0.000,0.010
2023-06-19,0.095,0.043,0.000,0.000,0.217,0.123,0.000
2023-06-20,0.018,0.000,0.000,0.092,0.057,0.000,0.000
2023-06-21,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-06-22,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-06-23,0.000,0.000,0.000,0.000,0.000,0.043,0.130
2023-06-24,0.000,0.000,0.000,0.000,0.010,0.201,0.110
2023-06-25,0.000,0.000,0.000,0.000,0.065,0.018,0.021
2023-06-26,0.000,0.000,0.000,0.021,0.356,0.773,0.255
2023-06-27,0.000,0.000,0.000,0.369,0.472,0.222,0.026
2023-06-28,0.000,0.025,0.214,0.088,0.068,0.000,0.000
2023-06-29,0.125,0.053,0.105,0.167,0.046,0.001,0.000
2023-06-30,0.206,0.059,0.370,0.002,0.004,0.000,0.001
2023-07-01,0.140,0.122,0.004,0.028,0.000,0.000,0.000
2023-07-02,0.087,0.056,0.015,0.000,0.000,0.000,0.000
2023-07-03,0.016,0.000,0.000,0.000,0.000,0.000,0.194
2023-07-04,0.001,0.000,0.000,0.000,0.000,0.000,0.000
2023-07-05,0.000,0.000,0.000,0.000,0.000,0.001,0.000
2023-07-06,0.000,0.000,0.000,0.061,0.452,0.000,0.000
2023-07-07,0.000,0.000,0.290,0.317,0.000,0.000,19.171
2023-07-08,0.000,0.092,0.026,0.000,0.000,5.673,3.029
2023-07-09,1.885,0.024,0.000,0.000,2.937,4.653,0.255
2023-07-10,0.030,0.000,0.011,0.162,0.049,0.000,0.000
2023-07-11,0.000,0.000,0.003,0.001,0.200,0.000,0.000
2023-07-12,0.000,0.000,0.000,0.035,0.000,0.101,0.235
2023-07-13,0.028,6.694,0.065,0.036,0.000,0.052,0.886
2023-07-14,0.025,0.009,0.016,0.000,0.017,0.207,0.316
2023-07-15,0.004,0.028,0.000,0.396,0.345,0.087,0.000
2023-07-16,0.000,0.000,0.311,1.983,0.190,0.016,0.002
2023-07-17,0.004,0.049,1.360,0.087,0.033,0.000,0.000
2023-07-18,0.047,1.019,0.068,0.001,0.000,0.000,0.000
2023-07-19,1.642,0.077,0.000,0.000,0.000,0.003,0.001
2023-07-20,0.032,0.001,0.000,0.000,0.001,0.034,0.058
2023-07-21,0.009,0.002,0.000,0.000,0.000,0.000,0.000
2023-07-22,0.005,0.000,0.000,0.001,0.011,0.035,0.430
2023-07-23,0.000,0.000,0.017,0.013,0.024,0.860,0.348
2023-07-24,0.000,0.160,0.012,0.081,0.270,0.382,0.156
2023-07-25,0.002,0.011,0.059,0.423,0.338,0.003,0.071
2023-07-26,0.000,0.185,0.137,0.129,0.274,0.034,0.000
2023-07-27,0.060,0.171,0.569,0.178,0.031,0.000,0.000
2023-07-28,0.011,0.407,0.359,0.074,0.000,0.000,0.000
2023-07-29,0.168,0.380,0.106,0.013,0.000,0.000,0.000
2023-07-30,0.279,0.087,0.119,0.027,0.000,0.000,0.001
