Dia,PrevD1,PrevD2,PrevD3,PrevD4
2021-10-14,0.338,6.317,31.936,0.580
2021-10-15,0.000,0.000,0.000,0.000
2021-10-16,9.920,0.978,28.263,0.892
2021-10-17,0.427,20.650,1.177,0.183
2021-10-18,7.692,1.689,5.018,0.001
2021-10-19,4.003,10.260,0.417,0.044
2021-10-20,8.994,0.399,0.182,0.000
2021-10-21,0.312,1.197,0.000,0.000
2021-10-22,0.030,0.006,24.183,0.641
2021-10-23,0.007,10.251,0.512,2.344
2021-10-24,5.555,0.575,3.300,3.417
2021-10-25,0.283,1.997,13.918,23.175
2021-10-26,4.340,2.236,17.831,35.328
2021-10-27,12.245,19.074,6.794,0.091
2021-10-28,28.456,4.025,3.866,0.009
2021-10-29,2.455,3.533,12.746,1.521
2021-10-30,7.815,6.200,17.633,0.062
2021-10-31,21.898,2.835,0.867,0.236
2021-11-01,5.421,0.546,0.423,0.038
2021-11-02,0.542,0.058,0.000,0.000
2021-11-03,0.084,0.023,0.113,0.000
2021-11-04,0.036,0.284,0.003,0.024
2021-11-05,0.182,0.010,0.033,0.177
2021-11-06,0.006,0.024,19.300,2.898
2021-11-07,0.086,9.773,10.799,0.161
2021-11-08,0.910,1.205,0.221,0.107
2021-11-09,1.200,0.335,0.117,0.088
2021-11-10,1.941,10.966,2.963,0.050
2021-11-11,8.496,0.302,0.064,0.001
2021-11-12,0.939,0.011,0.032,0.000
2021-11-13,0.003,0.040,0.031,0.000
2021-11-14,0.022,0.044,0.023,0.000
2021-11-15,0.018,0.001,0.000,0.000
2021-11-16,0.005,0.028,1.436,14.183
2021-11-17,0.036,2.053,36.172,0.233
2021-11-18,8.010,11.002,0.497,0.010
2021-11-19,61.447,0.266,0.043,0.008
2021-11-20,0.799,0.043,0.018,0.003
2021-11-21,0.042,0.016,0.000,0.099
2021-11-22,0.037,0.009,0.063,0.000
2021-11-23,0.066,0.018,0.069,0.000
2021-11-24,0.080,2.070,3.620,3.087
2021-11-25,0.471,4.550,5.136,0.002
2021-11-26,7.851,0.000,0.000,0.000
2021-11-27,4.938,0.000,0.162,30.252
2021-11-28,0.006,0.046,14.708,0.000
2021-11-29,0.396,0.321,0.000,0.000
2021-11-30,10.841,8.983,0.006,0.008
2021-12-01,0.652,0.256,0.684,0.142
2021-12-02,2.160,0.439,0.399,0.003
2021-12-03,0.368,0.206,0.629,0.014
2021-12-04,0.066,2.641,23.214,0.648
2021-12-05,2.050,31.374,4.016,0.178
2021-12-06,6.436,2.377,1.777,0.010
2021-12-07,2.883,5.087,0.936,0.011
2021-12-08,1.726,0.014,0.017,0.022
2021-12-09,0.053,0.051,0.001,0.000
2021-12-10,0.061,0.000,1.784,5.679
2021-12-11,0.008,3.031,7.160,5.751
2021-12-12,3.668,9.860,6.915,0.532
2021-12-13,2.678,7.049,7.171,0.020
2021-12-14,9.177,7.821,0.667,0.145
2021-12-15,28.378,41.515,29.562,0.141
2021-12-16,0.000,0.000,0.000,0.000
2021-12-17,0.000,0.000,0.000,0.000
2021-12-18,0.100,0.273,0.002,0.000
2021-12-19,0.037,0.030,0.017,0.000
2021-12-20,0.232,0.047,2.840,32.233
2021-12-21,0.012,1.850,15.244,0.013
2021-12-22,0.365,0.433,0.020,0.001
2021-12-23,10.902,0.209,0.054,0.000
2021-12-24,0.232,0.006,0.916,0.010
2021-12-25,0.114,0.942,6.966,16.497
2021-12-26,0.034,8.999,16.876,0.049
2021-12-27,5.540,7.727,6.571,0.001
2021-12-28,4.125,6.783,7.454,0.072
2021-12-29,2.088,3.727,5.071,1.145
