Dia;Precipitacao;Vazao;Captacao;Evapotranspiracao
2022-01-17;5.070;8.688;0.711;4.281
2022-01-18;2.340;8.540;0.690;4.281
2022-01-19;1.380;8.893;0.726;4.281
2022-01-20;0.500;8.144;0.726;4.281
2022-01-21;0.000;6.147;0.765;4.281
2022-01-22;0.000;4.944;0.757;4.281
2022-01-23;1.330;4.533;0.720;4.281
2022-01-24;0.000;5.368;0.687;4.281
2022-01-25;9.210;5.715;0.704;4.281
2022-01-26;4.220;6.797;0.743;4.281
2022-01-27;16.270;7.394;0.696;4.281
2022-01-28;15.570;8.347;0.724;4.281
2022-01-29;16.500;11.229;0.636;4.281
2022-01-30;22.160;18.186;0.625;4.281
2022-01-31;13.580;27.057;0.629;4.281
2022-02-01;2.960;33.123;0.687;4.377
2022-02-02;9.230;32.595;0.683;4.377
2022-02-03;0.990;28.746;0.732;4.377
2022-02-04;0.630;22.709;0.719;4.377
2022-02-05;1.080;17.926;0.700;4.377
2022-02-06;11.420;14.560;0.698;4.377
2022-02-07;8.260;11.848;0.673;4.377
2022-02-08;0.000;13.668;0.711;4.377
2022-02-09;0.000;15.403;0.730;4.377
2022-02-10;0.000;13.319;0.682;4.377
2022-02-11;0.010;9.525;0.685;4.377
2022-02-12;0.000;7.171;0.735;4.377
2022-02-13;0.000;6.084;0.672;4.377
2022-02-14;0.000;5.914;0.651;4.377
2022-02-15;0.000;5.692;0.732;4.377
2022-02-16;0.000;6.092;0.705;4.377
2022-02-17;6.180;7.128;0.661;4.377
2022-02-18;0.820;7.893;0.679;4.377
2022-02-19;0.020;8.275;0.705;4.377
2022-02-20;5.150;8.501;0.689;4.377
2022-02-21;0.000;8.899;0.700;4.377
2022-02-22;0.030;8.624;0.730;4.377
2022-02-23;0.030;8.318;0.748;4.377
2022-02-24;0.000;8.024;0.809;4.377
2022-02-25;0.000;7.709;0.845;4.377
2022-02-26;0.000;7.355;0.860;4.377
2022-02-27;0.260;6.928;0.831;4.377
2022-02-28;0.000;6.844;0.814;4.377
2022-03-01;7.920;7.395;0.825;3.878
2022-03-02;0.000;7.765;0.836;3.878
2022-03-03;0.000;7.743;0.856;3.878
2022-03-04;19.980;7.877;0.825;3.878
2022-03-05;0.090;9.721;0.848;3.878
2022-03-06;0.790;10.098;0.819;3.878
2022-03-07;0.010;9.197;0.800;3.878
2022-03-08;0.250;8.445;0.816;3.878
2022-03-09;6.890;8.275;0.816;3.878
2022-03-10;2.950;9.345;0.791;3.878
2022-03-11;0.050;8.348;0.798;3.878
2022-03-12;20.790;8.094;0.812;3.878
2022-03-13;7.380;10.114;0.771;3.878
2022-03-14;10.810;14.081;0.797;3.878
2022-03-15;5.600;16.450;0.798;3.878
2022-03-16;4.130;14.012;0.781;3.878
2022-03-17;0.730;13.412;0.787;3.878
2022-03-18;6.310;12.303;0.840;3.878
2022-03-19;0.500;9.888;0.830;3.878
2022-03-20;2.960;8.649;0.790;3.878
2022-03-21;0.720;7.831;0.768;3.878
2022-03-22;0.140;6.267;0.771;3.878
2022-03-23;0.000;5.427;0.826;3.878
2022-03-24;0.000;5.960;0.846;3.878
2022-03-25;0.000;6.255;0.819;3.878
2022-03-26;15.260;7.104;0.889;3.878
2022-03-27;0.230;7.821;0.793;3.878
2022-03-28;0.000;8.556;0.818;3.878
2022-03-29;0.000;8.265;0.820;3.878
2022-03-30;0.130;8.063;0.804;3.878
2022-03-31;0.000;7.875;0.816;3.878
2022-04-01;0.760;7.592;0.802;3.104
2022-04-02;0.000;7.411;0.814;3.104
2022-04-03;0.000;7.336;0.802;3.104
2022-04-04;1.020;7.163;0.803;3.104
2022-04-05;0.060;7.047;0.840;3.104
2022-04-06;0.000;6.842;0.808;3.104
2022-04-07;0.000;6.789;0.819;3.104
2022-04-08;10.180;7.221;0.851;3.104
2022-04-09;0.390;8.644;0.818;3.104
2022-04-10;0.000;8.408;0.829;3.104
2022-04-11;0.000;8.276;0.797;3.104
2022-04-12;0.000;8.226;0.819;3.104
2022-04-13;0.000;8.085;0.817;3.104
2022-04-14;0.090;7.848;0.820;3.104
2022-04-15;0.000;7.673;0.795;3.104
2022-04-16;0.000;7.554;0.513;3.104
2022-04-17;0.000;7.428;0.526;3.104
2022-04-18;0.000;7.467;0.848;3.104
2022-04-19;0.000;7.615;0.833;3.104
2022-04-20;0.000;7.923;0.806;3.104
2022-04-21;0.000;8.282;0.804;3.104
2022-04-22;0.000;8.512;0.830;3.104
2022-04-23;0.000;8.592;0.843;3.104
2022-04-24;0.000;8.564;0.779;3.104
2022-04-25;0.000;8.566;0.821;3.104
2022-04-26;0.000;8.544;0.821;3.104
2022-04-27;0.000;8.485;0.811;3.104
2022-04-28;0.000;8.246;0.849;3.104
2022-04-29;0.000;8.203;0.834;3.104
2022-04-30;0.080;8.290;0.852;3.104
2022-05-01;0.070;8.456;0.853;1.867
2022-05-02;2.300;8.581;0.827;1.867
2022-05-03;0.000;8.734;0.812;1.867
2022-05-04;8.410;9.175;0.772;1.867
2022-05-05;0.000;9.487;0.796;1.867
2022-05-06;0.000;9.582;0.854;1.867
2022-05-07;0.000;9.501;0.818;1.867
2022-05-08;0.000;9.536;0.775;1.867
2022-05-09;0.000;9.668;0.819;1.867
2022-05-10;0.000;9.741;0.811;1.867
2022-05-11;6.920;9.894;0.811;1.867
2022-05-12;0.000;10.427;0.824;1.867
2022-05-13;0.000;10.505;0.836;1.867
2022-05-14;0.000;10.483;0.841;1.867
2022-05-15;6.460;10.574;0.792;1.867
2022-05-16;0.000;10.575;0.755;1.867
2022-05-17;0.000;10.575;0.831;1.867
2022-05-18;0.000;10.441;0.745;1.867
2022-05-19;0.000;10.223;0.792;1.867
2022-05-20;0.000;10.072;0.787;1.867
2022-05-21;0.000;10.047;0.841;1.867
2022-05-22;0.000;9.942;0.818;1.867
2022-05-23;0.000;9.921;0.789;1.867
2022-05-24;0.000;9.906;0.818;1.867
2022-05-25;0.000;9.839;0.827;1.867
2022-05-26;0.000;9.781;0.843;1.867
2022-05-27;0.000;9.779;0.810;1.867
2022-05-28;0.000;9.750;0.824;1.867
2022-05-29;0.000;9.766;0.823;1.867
2022-05-30;12.030;9.891;0.815;1.867
2022-05-31;9.250;11.897;0.778;1.867
2022-06-01;10.440;13.395;0.798;1.583
2022-06-02;0.000;13.246;0.810;1.583
2022-06-03;0.000;12.666;0.773;1.583
2022-06-04;0.000;11.469;0.814;1.583
2022-06-05;0.000;9.792;0.806;1.583
2022-06-06;0.000;8.252;0.781;1.583
2022-06-07;3.210;7.396;0.789;1.583
2022-06-08;2.910;7.371;0.783;1.583
2022-06-09;0.710;7.984;0.796;1.583
2022-06-10;6.220;9.408;0.755;1.583
2022-06-11;0.000;9.783;0.816;1.583
2022-06-12;0.000;9.783;0.774;1.583
2022-06-13;0.000;9.643;0.767;1.583
2022-06-14;0.000;9.519;0.794;1.583
2022-06-15;0.000;9.335;0.792;1.583
2022-06-16;0.000;9.200;0.799;1.583
2022-06-17;0.000;9.003;0.808;1.583
2022-06-18;0.000;8.813;0.800;1.583
2022-06-19;0.000;8.594;0.772;1.583
2022-06-20;0.000;8.490;0.771;1.583
2022-06-21;0.000;8.448;0.840;1.583
2022-06-22;0.000;8.378;0.890;1.583
2022-06-23;0.000;8.296;0.816;1.583
2022-06-24;0.000;8.232;0.843;1.583
2022-06-25;0.000;8.349;0.827;1.583
2022-06-26;0.000;8.542;0.793;1.583
2022-06-27;0.000;8.721;0.755;1.583
2022-06-28;0.000;8.880;0.833;1.583
2022-06-29;0.000;9.179;0.814;1.583
2022-06-30;0.000;9.395;0.836;1.583
2022-07-01;0.000;9.485;0.841;1.532
