Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2021-06-15;0.00;0.00;0.00;0.00;0.21;0.33;0.00
2021-06-16;0.00;0.00;0.00;0.21;0.33;0.00;4.12
2021-06-17;0.00;0.00;0.21;0.33;0.00;4.12;0.00
2021-06-18;0.00;0.21;0.33;0.00;4.12;0.00;0.00
2021-06-19;0.21;0.33;0.00;4.12;0.00;0.00;0.00
2021-06-20;0.33;0.00;4.12;0.00;0.00;0.00;0.00
2021-06-21;0.00;4.12;0.00;0.00;0.00;0.00;0.00
2021-06-22;4.12;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-23;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-24;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-26;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-27;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-29;0.00;0.00;0.00;0.00;0.00;0.00;0.06
2021-06-30;0.00;0.00;0.00;0.00;0.00;0.06;0.00
2021-07-01;0.00;0.00;0.00;0.00;0.06;0.00;0.00
2021-07-02;0.00;0.00;0.00;0.06;0.00;0.00;0.00
2021-07-03;0.00;0.00;0.06;0.00;0.00;0.00;0.00
2021-07-04;0.00;0.06;0.00;0.00;0.00;0.00;0.00
2021-07-05;0.06;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-07;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-08;0.00;0.00;0.00;0.00;0.00;0.00;0.01
2021-07-09;0.00;0.00;0.00;0.00;0.00;0.01;0.00
2021-07-10;0.00;0.00;0.00;0.00;0.01;0.00;0.00
2021-07-11;0.00;0.00;0.00;0.01;0.00;0.00;0.00
2021-07-12;0.00;0.00;0.01;0.00;0.00;0.00;0.00
2021-07-13;0.00;0.01;0.00;0.00;0.00;0.00;0.00
2021-07-14;0.01;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-16;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-17;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-18;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-21;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-07-22;0.00;0.00;0.00;0.00;0.00;0.00;12.73
2021-07-23;0.00;0.00;0.00;0.00;0.00;12.73;0.00
2021-07-24;0.00;0.00;0.00;0.00;12.73;0.00;2.03
2021-07-25;0.00;0.00;0.00;12.73;0.00;2.03;0.00
2021-07-26;0.00;0.00;12.73;0.00;2.03;0.00;0.00
2021-07-27;0.00;12.73;0.00;2.03;0.00;0.00;0.00
2021-07-28;12.73;0.00;2.03;0.00;0.00;0.00;0.00
2021-07-29;0.00;2.03;0.00;0.00;0.00;0.00;0.00
2021-07-30;2.03;0.00;0.00;0.00;0.00;0.00;0.00
